Synergy,Tissue_of_origin,HBA_1,clogP_1,HBD_1,Lipinski_1,MW_1,HBA_2,clogP_2,HBD_2,Lipinski_2,MW_2,IC50_1,EMax_1,H_1,Max_C_1,AUC_1,IC50_2,EMax_2,H_2,Max_C_2,AUC_2,Stitch_D2D,Target_D2D,Syn_D2D
0,1,8,1.18,5,0,428.9,8,4.43,3,0,463.6,0.03,28.20176098,10,0.03,2.83665836471051,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0,NaN,-0
0,1,11,9.62,4,3,945.5,8,4.43,3,0,463.6,0.03,14.00135475,10,0.03,2.81028577654778,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0,NaN,0.00443139974527226
0,1,NaN,NaN,NaN,NaN,NaN,8,4.43,3,0,463.6,0.03,13.80081951,10,0.03,2.80991334823756,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0,NaN,-0
0,1,NaN,NaN,NaN,NaN,NaN,8,4.43,3,0,463.6,0.025490845,0,2.0675855,0.03,2.18912747703061,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0,NaN,-0
0,1,8,4.43,3,0,463.6,9,2.47,1,0,462.6,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0.03,10.40028443,10,0.03,2.80359797177965,0,NaN,0.0615761039273632
0,1,8,4.43,3,0,463.6,NaN,NaN,NaN,NaN,NaN,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0.03,0.80023711,10,0.03,2.78576903856377,0,NaN,0.0615761039273632
0,1,8,4.43,3,0,463.6,NaN,NaN,NaN,NaN,NaN,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0.028550895,0,1.7398386,0.03,2.23072693735052,0,NaN,-0
0,1,8,4.43,3,0,463.6,NaN,NaN,NaN,NaN,NaN,0.000282117,8.93673927,0.1705384,0.3,9.81818698974953,0.03,1.40029839,10,0.03,2.78688345520464,0,NaN,0.00443139974527226
0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,67.91764998,1.7375781,0.1,9.15191418224536,1,100,0,3,297,0,NaN,0.0615761039273632
0,2,NaN,NaN,NaN,NaN,NaN,8,1.18,5,0,428.9,0.605687563,0,1.2654588,1,59.255060683644,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0,NaN,3.08575408098297
0,2,NaN,NaN,NaN,NaN,NaN,9,2.47,1,0,462.6,0.605687563,0,1.2654588,1,59.255060683644,0.044792531,1.26972833,2.1839563,1,6.60436959805411,0,0,3.08575408098297
0,2,8,1.18,5,0,428.9,6,3.24,3,0,407.5,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.033830813,1.35284127,2.0905398,1,5.32737120556172,0,NaN,0.938656359239187
1,2,8,1.18,5,0,428.9,7,4.08,4,0,449,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.341351137,47.27270515,0.7058071,1,71.5950031776145,0,NaN,0.245424365196252
1,2,8,1.18,5,0,428.9,9,3.05,2,1,651.8,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.095580754,36.10912465,1.478484,1,46.2579239133645,0,NaN,0.637589321969782
0,2,8,1.18,5,0,428.9,NaN,NaN,NaN,NaN,NaN,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.129313236,18.00509409,0.791079,1,42.9161378365157,0,NaN,-0
0,2,8,1.18,5,0,428.9,10,2.12,5,0,419.5,0.038898677,1.28445445,2.1046042,1,5.95526853353365,1.367930445,0,0.9821291,3,155.83027018489,0,NaN,0.0615761039273632
1,2,8,1.18,5,0,428.9,8,4.49,2,0,485.9,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.129993535,49.261173,0.9991397,1,62.5495513353986,0,NaN,3.08575408098297
0,2,8,1.18,5,0,428.9,8,4.51,2,0,473.9,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.625836307,0,1.3413709,1,60.409121972794,0,NaN,2.05716938732198
0,2,8,1.18,5,0,428.9,8,1.58,2,0,410.4,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.094843175,35.94864197,0.5612082,1,55.8691018780125,0,NaN,0.287550143732551
0,2,8,1.18,5,0,428.9,7,2.13,3,0,441.5,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.190101078,78.74518968,3.2412186,1,82.4517932271739,0,NaN,0.637589321969782
1,2,8,1.18,5,0,428.9,NaN,NaN,NaN,NaN,NaN,0.038898677,1.28445445,2.1046042,1,5.95526853353365,0.814803418,0,0.5587105,1,58.9441505843324,0,NaN,0.0615761039273632
0,2,6,3.24,3,0,407.5,NaN,NaN,NaN,NaN,NaN,0.033830813,1.35284127,2.0905398,1,5.32737120556172,0.564160974,19.08872084,0.9758924,3,139.204227591716,0,NaN,0.637589321969782
0,2,6,3.24,3,0,407.5,9,3.05,2,1,651.8,0.033830813,1.35284127,2.0905398,1,5.32737120556172,0.095580754,36.10912465,1.478484,1,46.2579239133645,0,NaN,0.637589321969782
1,2,6,3.24,3,0,407.5,8,4.49,2,0,485.9,0.033830813,1.35284127,2.0905398,1,5.32737120556172,0.129993535,49.261173,0.9991397,1,62.5495513353986,0,NaN,3.08575408098297
0,2,6,3.24,3,0,407.5,NaN,NaN,NaN,NaN,NaN,0.033830813,1.35284127,2.0905398,1,5.32737120556172,0.093441419,23.43664626,0.8461883,1,42.2187378674876,0,NaN,0.0615761039273632
0,2,NaN,NaN,NaN,NaN,NaN,11,9.62,4,3,945.5,0.095093735,49.51957963,0.708687,1,63.1741284348435,0.037330269,0.89738117,2.0783798,1,5.42038905686792,0,NaN,0.9720937144443
0,2,NaN,NaN,NaN,NaN,NaN,8,4.43,3,0,463.6,0.095093735,49.51957963,0.708687,1,63.1741284348435,0.033756281,2.17243158,2.3688141,1,5.67877872592278,0,NaN,-0
