0,457.7,?,7,?,3,?,3.88,?,0,?,0.99466,0.96509,38.6267,0,0.10452
0,114.2,?,2,?,4,?,-0.62,?,0,?,0.96054,0.95914,0,0,1
0,?,462.6,?,9,?,1,?,2.47,?,0,0.98857,0.99766,0,0,0.090766
0,457.7,462.6,7,9,3,1,3.88,2.47,0,0,0.99902,0.99878,1.0133,0.27067,0.081919
1,473.9,428.9,8,8,2,5,4.51,1.18,0,0,0.9959,0.98971,3.3043,0.4854,0.90358
1,428.9,473.9,8,8,5,2,1.18,4.51,0,0,0.98971,0.9959,3.3043,0.4854,0.90358
0,428.9,?,8,?,5,?,1.18,?,0,?,0.96658,0.99046,4.7833,0,0.26092
0,945.5,463.6,11,8,4,3,9.62,4.43,3,0,0.99972,0.98328,0,0.043283,0.11214
0,419.5,?,10,?,5,?,2.12,?,0,?,0.96224,0.99961,0,0,0.41384
1,457.7,379.5,7,5,3,3,3.88,3.18,0,0,0.99586,0.99517,0,0.27172,0.12097
0,?,428.9,?,8,?,5,?,1.18,?,0,0.99666,0.9984,0.57133,0.36812,0.82249
0,412.5,457.7,8,7,2,3,0.59,3.88,0,0,0.99625,0.99527,0,0,0.19209
0,412.5,?,8,?,2,?,0.59,?,0,?,0.99995,0.99994,0,0,0.47538
0,?,463.6,?,8,?,3,?,4.43,?,0,0.99035,0.99589,0,0,0.13156
0,974.6,421.5,11,8,2,2,12.39,0.73,3,0,0.99997,0.99651,6.8492,0,0.72908
1,379.5,588.6,5,13,3,3,3.18,0.03,0,2,0.9877,0.99289,0,0,0.35887
0,412.5,428.9,8,8,2,5,0.59,1.18,0,0,0.99624,0.99729,0,0,0.27323
0,362.4,?,6,?,5,?,3.11,?,0,?,0.99153,0.99951,0,0,0.15313
0,449,457.5,7,7,4,1,4.08,1.67,0,0,0.99585,0.99374,114.4622,0,0.59712
0,379.5,513.6,5,10,3,1,3.18,2.63,0,1,0.98869,0.99595,0,0.37576,0.75614
0,?,513.6,?,10,?,1,?,2.63,?,1,0.97815,0.98676,0,0,0.80273
0,407.5,?,6,?,3,?,3.24,?,0,?,0.99923,0.99703,0,0.17992,0.60497
0,945.5,379.5,11,5,4,3,9.62,3.18,3,0,0.99986,0.99997,0,0.10085,0.32824
1,428.9,473.9,8,8,5,2,1.18,4.51,0,0,0.9996,0.99476,3.3043,0.4854,0.90358
0,462.6,441.5,9,7,1,3,2.47,2.13,0,0,0.99799,0.99391,10.0175,0.1867,0.052737
1,463.6,?,8,?,3,?,4.43,?,0,?,0.99997,0.9788,0,0.043846,0.077315
1,?,457.7,?,7,?,3,?,3.88,?,0,0.97863,0.99059,38.6267,0,0.10452
1,?,507,?,9,?,2,?,4.29,?,1,0.9986,0.99987,0,0,0.62283
0,457.7,513.6,7,10,3,1,3.88,2.63,0,1,0.99586,0.99783,11.6559,0,0.20068
1,974.6,419.5,11,10,2,5,12.39,2.12,3,0,0.99998,0.99998,0,0,0.41004
0,945.5,462.6,11,6,4,0,9.62,4.8,3,0,0.99801,0.99405,0,0,0.48627
0,462.6,?,9,?,1,?,2.47,?,0,?,0.99735,0.98906,0,0,0.090766
1,457.7,513.6,7,10,3,1,3.88,2.63,0,1,0.999,0.99571,11.6559,0,0.20068
0,?,513.6,?,10,?,1,?,2.63,?,1,0.99135,0.99571,0,0,0.80273
0,434.5,?,7,?,1,?,1.24,?,0,?,0.99008,0.99987,0,0,0.16999
