"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Gemcitabine (DB00441)","1.0000","http://www.drugbank.ca/drugs/DB00441"
"2","2'-Deoxycytidine (DB02594)","0.9274","http://www.drugbank.ca/drugs/DB02594"
"3","Cytarabine (DB00987)","0.9120","http://www.drugbank.ca/drugs/DB00987"
"4","CP-4055 (DB05494)","0.9120","http://www.drugbank.ca/drugs/DB05494"
"5","Cytidine (DB02097)","0.9120","http://www.drugbank.ca/drugs/DB02097"
"6","Zalcitabine (DB00943)","0.9119","http://www.drugbank.ca/drugs/DB00943"
"7","2'-Deoxyuridine (DB02256)","0.9105","http://www.drugbank.ca/drugs/DB02256"
"8","Floxuridine (DB00322)","0.9044","http://www.drugbank.ca/drugs/DB00322"
"9","2'-5'dideoxyuridine (DB03274)","0.9029","http://www.drugbank.ca/drugs/DB03274"
"10","Zebularine (DB03068)","0.9026","http://www.drugbank.ca/drugs/DB03068"
"11","Uridine (DB02745)","0.8975","http://www.drugbank.ca/drugs/DB02745"
"12","Telbivudine (DB01265)","0.8970","http://www.drugbank.ca/drugs/DB01265"
"13","Deoxythymidine (DB04485)","0.8970","http://www.drugbank.ca/drugs/DB04485"
"14","Idoxuridine (DB00249)","0.8952","http://www.drugbank.ca/drugs/DB00249"
"15","5-Fluorouridine (DB01629)","0.8936","http://www.drugbank.ca/drugs/DB01629"
"16","1-(2-Deoxy-2-Fluoro-3-O-Phosphono-Beta-L-Ribofuranosyl)Pyrimidine-2,4(1h,3h)-Dione (DB03155)","0.8920","http://www.drugbank.ca/drugs/DB03155"
"17","5-Bromovinyldeoxyuridine (DB03312)","0.8834","http://www.drugbank.ca/drugs/DB03312"
"18","Trifluridine (DB00432)","0.8821","http://www.drugbank.ca/drugs/DB00432"
"19","Cyclouridine (DB04627)","0.8744","http://www.drugbank.ca/drugs/DB04627"
"20","5-Aminoimidazole Ribonucleoside (DB04568)","0.8735","http://www.drugbank.ca/drugs/DB04568"
"21","Isatoribine (DB04860)","0.8726","http://www.drugbank.ca/drugs/DB04860"
"22","Clofarabine (DB00631)","0.8724","http://www.drugbank.ca/drugs/DB00631"
"23","5-Methyl-2'-Deoxypseudouridine (DB03763)","0.8680","http://www.drugbank.ca/drugs/DB03763"
"24","Acadesine (DB04944)","0.8653","http://www.drugbank.ca/drugs/DB04944"
"25","OSI-7836 (DB05837)","0.8649","http://www.drugbank.ca/drugs/DB05837"
"26","Thymidine-5'-(Dithio)Phosphate (DB02980)","0.8633","http://www.drugbank.ca/drugs/DB02980"
"27","2'-Deoxycytidine-5'-Monophosphate (DB03798)","0.8614","http://www.drugbank.ca/drugs/DB03798"
"28","Cytosine Arabinose-5'-Phosphate (DB02456)","0.8580","http://www.drugbank.ca/drugs/DB02456"
"29","Cytidine-5'-Monophosphate (DB03403)","0.8580","http://www.drugbank.ca/drugs/DB03403"
"30","1-Deaza-Adenosine (DB04218)","0.8573","http://www.drugbank.ca/drugs/DB04218"
"31","Pentostatin (DB00552)","0.8569","http://www.drugbank.ca/drugs/DB00552"
"32","9-(6-Deoxy-Alpha-L-Talofuranosyl)-6-Methylpurine (DB02934)","0.8554","http://www.drugbank.ca/drugs/DB02934"
"33","9-(6-Deoxy-Beta-D-Allofuranosyl)-6-Methylpurine (DB03952)","0.8554","http://www.drugbank.ca/drugs/DB03952"
"34","3-Deazacytidine (DB04385)","0.8554","http://www.drugbank.ca/drugs/DB04385"
"35","5-Methylcytidine-5'-Monophosphate (DB01995)","0.8553","http://www.drugbank.ca/drugs/DB01995"
"36","Cytidine-3'-Monophosphate (DB01961)","0.8551","http://www.drugbank.ca/drugs/DB01961"
"37","Cytidine-2'-Monophosphate (DB03765)","0.8551","http://www.drugbank.ca/drugs/DB03765"
"38","Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester (DB03195)","0.8543","http://www.drugbank.ca/drugs/DB03195"
"39","Tubercidin (DB03172)","0.8541","http://www.drugbank.ca/drugs/DB03172"
"40","7-Methylguanosine (DB03493)","0.8532","http://www.drugbank.ca/drugs/DB03493"
"41","Guanosine (DB02857)","0.8523","http://www.drugbank.ca/drugs/DB02857"
"42","6-Hydroxy-1,6-Dihydro Purine Nucleoside (DB03015)","0.8522","http://www.drugbank.ca/drugs/DB03015"
"43","3-Deaza-Adenosine (DB04546)","0.8503","http://www.drugbank.ca/drugs/DB04546"
"44","5-bromo-cytidinemonophosphate (DB05248)","0.8479","http://www.drugbank.ca/drugs/DB05248"
"45","Inosine (DB04335)","0.8469","http://www.drugbank.ca/drugs/DB04335"
"46","Azacitidine (DB00928)","0.8467","http://www.drugbank.ca/drugs/DB00928"
"47","Vidarabine (DB00194)","0.8465","http://www.drugbank.ca/drugs/DB00194"
"48","Adenosine (DB00640)","0.8465","http://www.drugbank.ca/drugs/DB00640"
"49","9-Beta-D-Xylofuranosyl-Adenine (DB03528)","0.8465","http://www.drugbank.ca/drugs/DB03528"
"50","5-iodotubercidin (DB04604)","0.8463","http://www.drugbank.ca/drugs/DB04604"
"51","2-Fluoroadenosine (DB04441)","0.8463","http://www.drugbank.ca/drugs/DB04441"
"52","Decitabine (DB01262)","0.8461","http://www.drugbank.ca/drugs/DB01262"
"53","2'-deoxyuridylic acid (DB03800)","0.8447","http://www.drugbank.ca/drugs/DB03800"
"54","Nelarabine (DB01280)","0.8439","http://www.drugbank.ca/drugs/DB01280"
"55","Uridine-5'-Monophosphate (DB03685)","0.8433","http://www.drugbank.ca/drugs/DB03685"
