"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","(1aR,8S,13S,14S,15aR)-5,13,14-trihydroxy-3-methoxy-8-methyl-8,9,13,14,15,15a-hexahydro-6H-oxireno[k][2]benzoxacyclotetradecine-6,12(1aH)-dione (DB07905)","0.9421","http://www.drugbank.ca/drugs/DB07905"
"2","1,2-Hydro-1-Oxy-3,4-Hydro-3-(1-Methoxy-2-Oxy-3,4-Dihydroxypentyl)-8,9-Dihydroxy-7-(Sec-Butyl)-Anthracene (DB04240)","0.9419","http://www.drugbank.ca/drugs/DB04240"
"3","Calanolide A (DB04886)","0.9343","http://www.drugbank.ca/drugs/DB04886"
"4","Teniposide (DB00444)","0.9255","http://www.drugbank.ca/drugs/DB00444"
"5","Troglitazone (DB00197)","0.9250","http://www.drugbank.ca/drugs/DB00197"
"6","(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE (DB08607)","0.9250","http://www.drugbank.ca/drugs/DB08607"
"7","DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE (DB08320)","0.9226","http://www.drugbank.ca/drugs/DB08320"
"8","(3s)-Tetrahydrofuran-3-Yl (1r,2s)-3-[4-((1r)-2-{[(S)-Amino(Hydroxy)Methyl]Oxy}-2,3-Dihydro-1h-Inden-1-Yl)-2-Benzyl-3-Oxopyrrolidin-2-Yl]-1-Benzyl-2-Hydroxypropylcarbamate (DB01824)","0.9211","http://www.drugbank.ca/drugs/DB01824"
"9","Etoposide (DB00773)","0.9193","http://www.drugbank.ca/drugs/DB00773"
"10","Nebivolol (DB04861)","0.9186","http://www.drugbank.ca/drugs/DB04861"
"11","Salmeterol (DB00938)","0.9159","http://www.drugbank.ca/drugs/DB00938"
"12","(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL (DB07909)","0.9152","http://www.drugbank.ca/drugs/DB07909"
"13","Dapagliflozin (DB06292)","0.9149","http://www.drugbank.ca/drugs/DB06292"
"14","Inhibitor BEA369 (DB01887)","0.9117","http://www.drugbank.ca/drugs/DB01887"
"15","(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE (DB04708)","0.9110","http://www.drugbank.ca/drugs/DB04708"
"16","2-ETHOXYETHYL (2S,3S)-4-((S)-2-BENZYL-3-OXO-4-((3AR,8R,8AS)-2-OXO-3,3A,8,8A-TETRAHYDRO-2H-INDENO[1,2-D]OXAZOL-8-YL)-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE (DB04623)","0.9101","http://www.drugbank.ca/drugs/DB04623"
"17","Benzylmorphine (DB01573)","0.9099","http://www.drugbank.ca/drugs/DB01573"
"18","Deserpidine (DB01089)","0.9090","http://www.drugbank.ca/drugs/DB01089"
"19","Podofilox (DB01179)","0.9085","http://www.drugbank.ca/drugs/DB01179"
"20","Balanol Analog 8 (DB02155)","0.9083","http://www.drugbank.ca/drugs/DB02155"
"21","(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid (DB04003)","0.9070","http://www.drugbank.ca/drugs/DB04003"
"22","Reserpine (DB00206)","0.9066","http://www.drugbank.ca/drugs/DB00206"
"23","PNU177836 (DB02977)","0.9053","http://www.drugbank.ca/drugs/DB02977"
"24","3-(4-Amino-2-Tert-Butyl-5-Methyl-Phenylsulfanyl)-6-Cyclopentyl-4-Hydroxy-6-[2-(4-Hydroxy-Phenyl)-Ethyl]-5,6-Dihydro-Pyran-2-One (DB04298)","0.9052","http://www.drugbank.ca/drugs/DB04298"
"25","R-3-FLUORO-4-[2-HYDROXY-2-(5,5,8,8-TETRAMETHYL-5,6,7,8,-TETRAHYDRO-NAPHTALEN-2-YL)-ACETYLAMINO]-BENZOIC ACID (DB07031)","0.9038","http://www.drugbank.ca/drugs/DB07031"
"26","3-FLUORO-4-[2-HYDROXY-2-(5,5,8,8-TETRAMETHYL-5,6,7,8,-TETRAHYDRO-NAPHTALEN-2-YL)-ACETYLAMINO]-BENZOIC ACID (DB07294)","0.9038","http://www.drugbank.ca/drugs/DB07294"
"27","4-[3-Oxo-3-(5,5,8,8-Tetramethyl-5,6,7,8-Tetrahydro-Naphthalen-2-Yl)-Propenyl]-Benzoic Acid (DB02466)","0.9034","http://www.drugbank.ca/drugs/DB02466"
"28","Rescinnamine (DB01180)","0.9028","http://www.drugbank.ca/drugs/DB01180"
