"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine (DB03916)","0.9565","http://www.drugbank.ca/drugs/DB03916"
"2","4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE (DB04739)","0.9476","http://www.drugbank.ca/drugs/DB04739"
"3","Imatinib (DB00619)","0.9476","http://www.drugbank.ca/drugs/DB00619"
"4","N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide (DB08351)","0.9469","http://www.drugbank.ca/drugs/DB08351"
"5","Delavirdine (DB00705)","0.9466","http://www.drugbank.ca/drugs/DB00705"
"6","CI-1033 (DB05424)","0.9462","http://www.drugbank.ca/drugs/DB05424"
"7","10-Propargyl-5,8-Dideazafolic Acid (DB03541)","0.9444","http://www.drugbank.ca/drugs/DB03541"
"8","N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOXAZIN-4-YL]ETHYL}ACETAMIDE (DB07059)","0.9436","http://www.drugbank.ca/drugs/DB07059"
"9","4-{[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino}-N-ethylpiperidine-1-carboxamide (DB08005)","0.9430","http://www.drugbank.ca/drugs/DB08005"
"10","Prazosin (DB00457)","0.9410","http://www.drugbank.ca/drugs/DB00457"
"11","4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine (DB02491)","0.9399","http://www.drugbank.ca/drugs/DB02491"
"12","5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE (DB07280)","0.9397","http://www.drugbank.ca/drugs/DB07280"
"13","Terazosin (DB01162)","0.9393","http://www.drugbank.ca/drugs/DB01162"
"14","Quetiapine (DB01224)","0.9374","http://www.drugbank.ca/drugs/DB01224"
"15","MLN-518 (DB05465)","0.9362","http://www.drugbank.ca/drugs/DB05465"
"16","Gefitinib (DB00317)","0.9319","http://www.drugbank.ca/drugs/DB00317"
"17","Etonitazene (DB01462)","0.9314","http://www.drugbank.ca/drugs/DB01462"
"18","N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE (DB06876)","0.9308","http://www.drugbank.ca/drugs/DB06876"
"19","1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE (DB07974)","0.9295","http://www.drugbank.ca/drugs/DB07974"
"20","N-(4-{[(3S)-3-(dimethylamino)pyrrolidin-1-yl]carbonyl}phenyl)-5-fluoro-4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-amine (DB07936)","0.9288","http://www.drugbank.ca/drugs/DB07936"
"21","N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE (DB07973)","0.9278","http://www.drugbank.ca/drugs/DB07973"
"22","2-{4-[4-({4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-yl}amino)phenyl]piperazin-1-yl}-2-oxoethanol (DB07982)","0.9271","http://www.drugbank.ca/drugs/DB07982"
"23","Avanafil (DB06237)","0.9270","http://www.drugbank.ca/drugs/DB06237"
"24","6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-4-(3-METHOXYPROPYL)-2,2-DIMETHYL-2H-1,4-BENZOXAZIN-3(4H)-ONE (DB07174)","0.9268","http://www.drugbank.ca/drugs/DB07174"
"25","Acetophenazine (DB01063)","0.9267","http://www.drugbank.ca/drugs/DB01063"
"26","5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07642)","0.9263","http://www.drugbank.ca/drugs/DB07642"
"27","5-Chloro-thiophene-2-carboxylic acid ((3S,4S)-1-{[2-fluoro-4-(2-oxo-2H-pyridin-1-yl)-phenylcarbamoyl]-methyl}-4-hydroxy-pyrrolidin-3-yl)-amide (DB07875)","0.9261","http://www.drugbank.ca/drugs/DB07875"
"28","1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide (DB06909)","0.9259","http://www.drugbank.ca/drugs/DB06909"
"29","2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE (DB08588)","0.9257","http://www.drugbank.ca/drugs/DB08588"
"30","Astemizole (DB00637)","0.9249","http://www.drugbank.ca/drugs/DB00637"
"31","Sertindole (DB06144)","0.9243","http://www.drugbank.ca/drugs/DB06144"
"32","4-(4-METHYLPIPERAZIN-1-YL)-N-[5-(2-THIENYLACETYL)-1,5-DIHYDROPYRROLO[3,4-C]PYRAZOL-3-YL]BENZAMIDE (DB07186)","0.9229","http://www.drugbank.ca/drugs/DB07186"
"33","Clonitazene (DB01523)","0.9228","http://www.drugbank.ca/drugs/DB01523"
"34","6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One (DB03507)","0.9227","http://www.drugbank.ca/drugs/DB03507"
"35","Afatinib (DB08916)","0.9223","http://www.drugbank.ca/drugs/DB08916"
"36","N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE (DB06899)","0.9207","http://www.drugbank.ca/drugs/DB06899"
"37","(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol (DB08463)","0.9204","http://www.drugbank.ca/drugs/DB08463"
"38","Moricizine (DB00680)","0.9204","http://www.drugbank.ca/drugs/DB00680"
"39","Alfuzosin (DB00346)","0.9203","http://www.drugbank.ca/drugs/DB00346"
"40","Doxazosin (DB00590)","0.9202","http://www.drugbank.ca/drugs/DB00590"
"41","4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM (DB08067)","0.9195","http://www.drugbank.ca/drugs/DB08067"
"42","5-(4-PHENOXYPHENYL)-5-(4-PYRIMIDIN-2-YLPIPERAZIN-1-YL)PYRIMIDINE-2,4,6(2H,3H)-TRIONE (DB07117)","0.9188","http://www.drugbank.ca/drugs/DB07117"
"43","5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07643)","0.9183","http://www.drugbank.ca/drugs/DB07643"
"44","3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE (DB08730)","0.9182","http://www.drugbank.ca/drugs/DB08730"
"45","5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide (DB03383)","0.9181","http://www.drugbank.ca/drugs/DB03383"
"46","Tadalafil (DB00820)","0.9177","http://www.drugbank.ca/drugs/DB00820"
"47","5-chloro-N-[(3R)-1-(2-{[2-fluoro-4-(2-oxopyridin-1(2H)-yl)phenyl]amino}-2-oxoethyl)pyrrolidin-3-yl]thiophene-2-carboxamide (DB07872)","0.9176","http://www.drugbank.ca/drugs/DB07872"
"48","Vilazodone (DB06684)","0.9175","http://www.drugbank.ca/drugs/DB06684"
"49","3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide (DB03534)","0.9174","http://www.drugbank.ca/drugs/DB03534"
"50","Furo[2,3d]Pyrimidine Antifolate (DB02026)","0.9174","http://www.drugbank.ca/drugs/DB02026"
"51","(2R,4R)-N~1~-(4-CHLOROPHENYL)-N~2~-[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]-4-METHOXYPYRROLIDINE-1,2-DICARBOXAMIDE (DB06920)","0.9174","http://www.drugbank.ca/drugs/DB06920"
"52","Ketoconazole (DB01026)","0.9170","http://www.drugbank.ca/drugs/DB01026"
"53","(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE (DB06888)","0.9161","http://www.drugbank.ca/drugs/DB06888"
"54","Quinacrine (DB01103)","0.9158","http://www.drugbank.ca/drugs/DB01103"
"55","Almitrine (DB01430)","0.9153","http://www.drugbank.ca/drugs/DB01430"
"56","3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE (DB08091)","0.9148","http://www.drugbank.ca/drugs/DB08091"
"57","4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol (DB04020)","0.9147","http://www.drugbank.ca/drugs/DB04020"
"58","Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate (DB03744)","0.9141","http://www.drugbank.ca/drugs/DB03744"
"59","6-ETHYL-5-[(2S)-1-(3-METHOXYPROPYL)-2-PHENYL-1,2,3,4-TETRAHYDROQUINOLIN-7-YL]PYRIMIDINE-2,4-DIAMINE (DB08099)","0.9140","http://www.drugbank.ca/drugs/DB08099"
"60","2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol (DB07943)","0.9139","http://www.drugbank.ca/drugs/DB07943"
"61","N-(5-CHLORO-BENZO[B]THIOPHEN-3-YLMETHYL)-2-[6-CHLORO-OXO-3-(2-PYRIDIN-2-YL-ETHYLAMINO)-2H-PYRAZIN-1-YL]-ACETAMIDE (DB07165)","0.9136","http://www.drugbank.ca/drugs/DB07165"
"62","5-CHLORO-THIOPHENE-2-CARBOXYLIC ACID ((3S,4S)-4-FLUORO- 1-{[2-FLUORO-4-(2-OXO-2H-PYRIDIN-1-YL)-PHENYLCARBAMOYL]-METHYL}-PYRROLIDIN-3-YL)-AMIDE (DB08143)","0.9135","http://www.drugbank.ca/drugs/DB08143"
