"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Cyclohexylammonium Ion (DB02995)","0.97948","http://www.drugbank.ca/drugs/DB02995"
"2","7,8-Diamino-Nonanoic Acid (DB01715)","0.97557","http://www.drugbank.ca/drugs/DB01715"
"3","Octamethylenediamine (DB04333)","0.97048","http://www.drugbank.ca/drugs/DB04333"
"4","1,6-Diaminohexane (DB03260)","0.96751","http://www.drugbank.ca/drugs/DB03260"
"5","Cyclohexylformamide (DB03559)","0.96201","http://www.drugbank.ca/drugs/DB03559"
"6","Octahydroindole-2-Carboxylic Acid (DB03409)","0.96131","http://www.drugbank.ca/drugs/DB03409"
"7","4-PIPERIDIN-4-YLBUTANAL (DB04654)","0.96062","http://www.drugbank.ca/drugs/DB04654"
"8","Aminomethylcyclohexane (DB02435)","0.96061","http://www.drugbank.ca/drugs/DB02435"
"9","(2s)-2,8-Diaminooctanoic Acid (DB04486)","0.95693","http://www.drugbank.ca/drugs/DB04486"
"10","Leucine - Reduced Carbonyl (DB02107)","0.95649","http://www.drugbank.ca/drugs/DB02107"
"11","Pentane-1,5-Diamine (DB03854)","0.95294","http://www.drugbank.ca/drugs/DB03854"
"12","Cycloleucine (DB04620)","0.95271","http://www.drugbank.ca/drugs/DB04620"
"13","Valpromide (DB04165)","0.95118","http://www.drugbank.ca/drugs/DB04165"
"14","Propylhexedrine (DB06714)","0.95026","http://www.drugbank.ca/drugs/DB06714"
"15","1-Hydroxy-2-Amino-3-Cyclohexylpropane (DB04387)","0.94856","http://www.drugbank.ca/drugs/DB04387"
"16","L-Isoleucine (DB00167)","0.94845","http://www.drugbank.ca/drugs/DB00167"
"17","Allo-Isoleucine (DB01739)","0.94845","http://www.drugbank.ca/drugs/DB01739"
"18","2,6-Diamino-Hexanoic Acid Amide (DB03988)","0.94820","http://www.drugbank.ca/drugs/DB03988"
"19","Pregabalin (DB00230)","0.94579","http://www.drugbank.ca/drugs/DB00230"
"20","(1r,4s)-2-Azabornane (DB02409)","0.94434","http://www.drugbank.ca/drugs/DB02409"
"21","Beta-Cyclohexyl-Alanine (DB02884)","0.94389","http://www.drugbank.ca/drugs/DB02884"
"22","L-Leucyl-Hydroxylamine (DB03308)","0.94150","http://www.drugbank.ca/drugs/DB03308"
"23","1-Amino-1-Carbonyl Pentane (DB03241)","0.94146","http://www.drugbank.ca/drugs/DB03241"
"24","Gabapentin (DB00996)","0.94130","http://www.drugbank.ca/drugs/DB00996"
"25","Amylamine (DB02045)","0.94105","http://www.drugbank.ca/drugs/DB02045"
"26","N-1-Methylheptylformamide (DB02131)","0.93952","http://www.drugbank.ca/drugs/DB02131"
"27","Tranexamic Acid (DB00302)","0.93947","http://www.drugbank.ca/drugs/DB00302"
"28","Heptanamide (DB02641)","0.93782","http://www.drugbank.ca/drugs/DB02641"
"29","L-Valinol (DB04383)","0.93741","http://www.drugbank.ca/drugs/DB04383"
"30","Neramexane (DB04926)","0.93687","http://www.drugbank.ca/drugs/DB04926"
