"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide (DB07970)","0.9497","http://www.drugbank.ca/drugs/DB07970"
"2","(2R)-1-(DIMETHYLAMINO)-3-{4-[(6-{[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-4-YL)AMINO]PHENOXY}PROPAN-2-OL (DB07054)","0.9415","http://www.drugbank.ca/drugs/DB07054"
"3","6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide (DB07326)","0.9350","http://www.drugbank.ca/drugs/DB07326"
"4","2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE (DB07831)","0.9315","http://www.drugbank.ca/drugs/DB07831"
"5","N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE (DB07545)","0.9203","http://www.drugbank.ca/drugs/DB07545"
"6","Regorafenib (DB08896)","0.9187","http://www.drugbank.ca/drugs/DB08896"
"7","[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID (DB08513)","0.9185","http://www.drugbank.ca/drugs/DB08513"
"8","Sorafenib (DB00398)","0.9143","http://www.drugbank.ca/drugs/DB00398"
"9","1-(5-{2-[(1-methyl-1H-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea (DB07362)","0.9142","http://www.drugbank.ca/drugs/DB07362"
"10","(4E)-N-(4-fluorophenyl)-4-[(phenylcarbonyl)imino]-4H-pyrazole-3-carboxamide (DB08137)","0.9120","http://www.drugbank.ca/drugs/DB08137"
"11","N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide (DB06940)","0.9077","http://www.drugbank.ca/drugs/DB06940"
"12","{[(2,6-difluorophenyl)carbonyl]amino}-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide (DB08138)","0.9070","http://www.drugbank.ca/drugs/DB08138"
"13","2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE (DB07268)","0.9046","http://www.drugbank.ca/drugs/DB07268"
"14","1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea (DB07360)","0.9044","http://www.drugbank.ca/drugs/DB07360"
"15","4-[[2-[[4-chloro-3-(trifluoromethyl)phenyl]amino]-3H-benzimidazol-5-yl]oxy]-N-methyl-pyridine-2-carboxamide (DB06938)","0.9038","http://www.drugbank.ca/drugs/DB06938"
"16","1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA (DB08043)","0.9033","http://www.drugbank.ca/drugs/DB08043"
"17","N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide (DB07665)","0.8990","http://www.drugbank.ca/drugs/DB07665"
"18","2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE (DB07460)","0.8978","http://www.drugbank.ca/drugs/DB07460"
"19","(2S)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07751)","0.8975","http://www.drugbank.ca/drugs/DB07751"
"20","(2R)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07761)","0.8975","http://www.drugbank.ca/drugs/DB07761"
"21","(2S)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide (DB07423)","0.8966","http://www.drugbank.ca/drugs/DB07423"
"22","N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid (DB02698)","0.8942","http://www.drugbank.ca/drugs/DB02698"
"23","5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE (DB07280)","0.8925","http://www.drugbank.ca/drugs/DB07280"
"24","N-[2-({[amino(imino)methyl]amino}oxy)ethyl]-2-{6-chloro-3-[(2,2-difluoro-2-phenylethyl)amino]-2-fluorophenyl}acetamide (DB07946)","0.8869","http://www.drugbank.ca/drugs/DB07946"
"25","3-FLUORO-N-1H-INDOL-5-YL-5-MORPHOLIN-4-YLBENZAMIDE (DB08092)","0.8866","http://www.drugbank.ca/drugs/DB08092"
"26","S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE (DB07769)","0.8848","http://www.drugbank.ca/drugs/DB07769"
"27","2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(1-OXIDO-2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUOROPHENYL)METHYL]ACETAMIDE (DB07550)","0.8838","http://www.drugbank.ca/drugs/DB07550"
"28","S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE (DB07602)","0.8830","http://www.drugbank.ca/drugs/DB07602"
"29","(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide (DB08564)","0.8821","http://www.drugbank.ca/drugs/DB08564"
"30","1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea (DB06883)","0.8810","http://www.drugbank.ca/drugs/DB06883"
"31","3-({4-[(5-CHLORO-1,3-BENZODIOXOL-4-YL)AMINO]PYRIMIDIN-2-YL}AMINO)BENZAMIDE (DB07256)","0.8809","http://www.drugbank.ca/drugs/DB07256"
"32","(2S)-1-{4-[(4-ANILINO-5-BROMOPYRIMIDIN-2-YL)AMINO]PHENOXY}-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07501)","0.8800","http://www.drugbank.ca/drugs/DB07501"
"33","(2R)-1-{4-[(4-ANILINO-5-BROMOPYRIMIDIN-2-YL)AMINO]PHENOXY}-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07504)","0.8800","http://www.drugbank.ca/drugs/DB07504"
"34","Enzalutamide  (DB08899)","0.8789","http://www.drugbank.ca/drugs/DB08899"
"35","1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide (DB06909)","0.8775","http://www.drugbank.ca/drugs/DB06909"
"36","Flibanserin (DB04908)","0.8773","http://www.drugbank.ca/drugs/DB04908"
"37","Afatinib (DB08916)","0.8749","http://www.drugbank.ca/drugs/DB08916"
"38","(2S)-3-(4-chloro-3-fluorophenoxy)-N-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide (DB07419)","0.8731","http://www.drugbank.ca/drugs/DB07419"
