"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Vorinostat (DB02546)","1.0000","http://www.drugbank.ca/drugs/DB02546"
"2","N-Cyclohexyl-N'-(4-Iodophenyl)Urea (DB02029)","0.9662","http://www.drugbank.ca/drugs/DB02029"
"3","2-(cyclohexylamino)benzoic acid (DB07038)","0.9660","http://www.drugbank.ca/drugs/DB07038"
"4","4-(N-ACETYLAMINO)-3-[N-(2-ETHYLBUTANOYLAMINO)]BENZOIC ACID (DB07762)","0.9618","http://www.drugbank.ca/drugs/DB07762"
"5","N-[(2R)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-L-alanine (DB08040)","0.9607","http://www.drugbank.ca/drugs/DB08040"
"6","N-Cyclohexyl-N'-(Propyl)Phenyl Urea (DB04213)","0.9540","http://www.drugbank.ca/drugs/DB04213"
"7","Lisdexamfetamine (DB01255)","0.9483","http://www.drugbank.ca/drugs/DB01255"
"8","9,9,9-TRIFLUORO-8-OXO-N-PHENYLNONANAMIDE (DB07553)","0.9481","http://www.drugbank.ca/drugs/DB07553"
"9","4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION (DB08295)","0.9479","http://www.drugbank.ca/drugs/DB08295"
"10","Bestatin (DB03424)","0.9447","http://www.drugbank.ca/drugs/DB03424"
"11","Aminoglutethimide (DB00357)","0.9441","http://www.drugbank.ca/drugs/DB00357"
"12","(1R)-2-METHYL-1-(PHENYLMETHYL)PROPYL[(1S)-1-FORMYLPENTYL]CARBAMATE (DB07592)","0.9439","http://www.drugbank.ca/drugs/DB07592"
"13","4-Dimethylamino-N-(6-Hydroxycarbamoyethyl)Benzamide-N-Hydroxy-7-(4-Dimethyla Minobenzoyl)Aminoheptanamide (DB02565)","0.9428","http://www.drugbank.ca/drugs/DB02565"
"14","2-ACETYLAMINO-4-METHYL-PENTANOIC ACID (1-FORMYL-2-PHENYL-ETHYL)-AMIDE (DB07749)","0.9414","http://www.drugbank.ca/drugs/DB07749"
"15","Methylphenidate (DB00422)","0.9412","http://www.drugbank.ca/drugs/DB00422"
"16","Dexmethylphenidate (DB06701)","0.9412","http://www.drugbank.ca/drugs/DB06701"
"17","4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION (DB08273)","0.9395","http://www.drugbank.ca/drugs/DB08273"
"18","Hexylcaine (DB00473)","0.9387","http://www.drugbank.ca/drugs/DB00473"
"19","Glutethimide (DB01437)","0.9352","http://www.drugbank.ca/drugs/DB01437"
"20","Thiorphan (DB08626)","0.9340","http://www.drugbank.ca/drugs/DB08626"
"21","4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}aniline (DB08579)","0.9335","http://www.drugbank.ca/drugs/DB08579"
"22","(S)-2-(MERCAPTOMETHYL)-5-PHENYLPENTANOIC ACID (DB08161)","0.9330","http://www.drugbank.ca/drugs/DB08161"
"23","[1-(3-CHLORO-2-FORMYL-PHENYLCARBAMOYL)-2-METHYL-PROPYL]-CARBAMIC ACID TERT-BUTYL ESTER (DB07956)","0.9324","http://www.drugbank.ca/drugs/DB07956"
"24","(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE (DB07155)","0.9322","http://www.drugbank.ca/drugs/DB07155"
"25","Ketamine (DB01221)","0.9322","http://www.drugbank.ca/drugs/DB01221"
"26","Heptanyl-P-Phenol (DB03941)","0.9318","http://www.drugbank.ca/drugs/DB03941"
"27","(3S)-1-(4-acetylphenyl)-5-oxopyrrolidine-3-carboxylic acid (DB07825)","0.9315","http://www.drugbank.ca/drugs/DB07825"
"28","Tapentadol (DB06204)","0.9310","http://www.drugbank.ca/drugs/DB06204"
"29","Acetohexamide (DB00414)","0.9309","http://www.drugbank.ca/drugs/DB00414"
"30","(1S,2R)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid (DB07808)","0.9289","http://www.drugbank.ca/drugs/DB07808"
"31","(3S)-N-(3-BROMOPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE (DB07192)","0.9284","http://www.drugbank.ca/drugs/DB07192"
"32","Embutramide (DB01487)","0.9256","http://www.drugbank.ca/drugs/DB01487"
"33","PHENYL[1-(N-SUCCINYLAMINO)PENTYL]PHOSPHONATE (DB07893)","0.9254","http://www.drugbank.ca/drugs/DB07893"
"34","4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME (DB08333)","0.9253","http://www.drugbank.ca/drugs/DB08333"
"35","Dyclonine (DB00645)","0.9250","http://www.drugbank.ca/drugs/DB00645"
"36","(2S) N-ACETYL-L-ALANYL-ALPHAL-PHENYLALANYL-CHLOROETHYLKETONE (DB07899)","0.9249","http://www.drugbank.ca/drugs/DB07899"
"37","5-PHENYL-2-KETO-VALERIC ACID (DB08050)","0.9236","http://www.drugbank.ca/drugs/DB08050"
"38","1-Phenylcyclohexylamine (DB01506)","0.9225","http://www.drugbank.ca/drugs/DB01506"
"39","4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME (DB08335)","0.9205","http://www.drugbank.ca/drugs/DB08335"
"40","(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID (DB08641)","0.9200","http://www.drugbank.ca/drugs/DB08641"
"41","(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID (DB08640)","0.9195","http://www.drugbank.ca/drugs/DB08640"
"42","4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL (DB07353)","0.9190","http://www.drugbank.ca/drugs/DB07353"
"43","3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME (DB08334)","0.9189","http://www.drugbank.ca/drugs/DB08334"
"44","L-BENZYLSUCCINIC ACID (DB07506)","0.9179","http://www.drugbank.ca/drugs/DB07506"
"45","Pethidine (DB00454)","0.9172","http://www.drugbank.ca/drugs/DB00454"
"46","Alpha-Amino-2-Indanacetic Acid (DB04061)","0.9169","http://www.drugbank.ca/drugs/DB04061"
"47","2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE (DB07398)","0.9161","http://www.drugbank.ca/drugs/DB07398"
"48","PARA-NITROBENZYL GLUTARYL GLYCINIC ACID (DB08410)","0.9152","http://www.drugbank.ca/drugs/DB08410"
"49","(5S)-2-{[(1S)-1-(4-fluorophenyl)ethyl]amino}-5-(1-hydroxy-1-methylethyl)-5-methyl-1,3-thiazol-4(5H)-one (DB07017)","0.9149","http://www.drugbank.ca/drugs/DB07017"
"50","(2R)-2-benzyl-3-nitropropanoic acid (DB06924)","0.9148","http://www.drugbank.ca/drugs/DB06924"
"51","HEXYLPHOSPHONIC ACID (R)-2-METHYL-3-PHENYLPROPYL ESTER (DB06965)","0.9146","http://www.drugbank.ca/drugs/DB06965"
"52","HEXYLPHOSPHONIC ACID (S)-2-METHYL-3-PHENYLPROPYL ESTER (DB06966)","0.9146","http://www.drugbank.ca/drugs/DB06966"
"53","L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid (DB02070)","0.9144","http://www.drugbank.ca/drugs/DB02070"
"54","N-[(1S)-5-amino-1-(chloroacetyl)pentyl]-4-methylbenzenesulfonamide (DB08603)","0.9144","http://www.drugbank.ca/drugs/DB08603"
"55","(3S)-1-(2-hydroxyphenyl)-5-oxopyrrolidine-3-carboxylic acid (DB07057)","0.9143","http://www.drugbank.ca/drugs/DB07057"
"56","3-(heptyloxy)benzoic acid (DB07355)","0.9139","http://www.drugbank.ca/drugs/DB07355"
"57","N-[(2R)-5-(aminosulfonyl)-2,3-dihydro-1H-inden-2-yl]-2-propylpentanamide (DB07048)","0.9135","http://www.drugbank.ca/drugs/DB07048"
"58","Ketobemidone (DB06738)","0.9134","http://www.drugbank.ca/drugs/DB06738"
"59","4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid (DB08385)","0.9127","http://www.drugbank.ca/drugs/DB08385"
"60","NGX-4010 (DB05318)","0.9126","http://www.drugbank.ca/drugs/DB05318"
"61","Alphameprodine (DB01499)","0.9124","http://www.drugbank.ca/drugs/DB01499"
"62","Betameprodine (DB01552)","0.9124","http://www.drugbank.ca/drugs/DB01552"
"63","Betaprodine (DB01473)","0.9116","http://www.drugbank.ca/drugs/DB01473"
"64","Allylprodine (DB01542)","0.9115","http://www.drugbank.ca/drugs/DB01542"
