"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide (DB07970)","0.9539","http://www.drugbank.ca/drugs/DB07970"
"2","(2R)-1-(DIMETHYLAMINO)-3-{4-[(6-{[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-4-YL)AMINO]PHENOXY}PROPAN-2-OL (DB07054)","0.9429","http://www.drugbank.ca/drugs/DB07054"
"3","6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide (DB07326)","0.9387","http://www.drugbank.ca/drugs/DB07326"
"4","2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE (DB07831)","0.9357","http://www.drugbank.ca/drugs/DB07831"
"5","N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE (DB07545)","0.9272","http://www.drugbank.ca/drugs/DB07545"
"6","1-(5-{2-[(1-methyl-1H-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea (DB07362)","0.9243","http://www.drugbank.ca/drugs/DB07362"
"7","[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID (DB08513)","0.9240","http://www.drugbank.ca/drugs/DB08513"
"8","Sorafenib (DB00398)","0.9202","http://www.drugbank.ca/drugs/DB00398"
"9","Regorafenib (DB08896)","0.9184","http://www.drugbank.ca/drugs/DB08896"
"10","4-[4-(2,4,6-TRIMETHYL-PHENYLAMINO)-PYRIMIDIN-2-YLAMINO]-BENZONITRILE (DB08639)","0.9158","http://www.drugbank.ca/drugs/DB08639"
"11","(4E)-N-(4-fluorophenyl)-4-[(phenylcarbonyl)imino]-4H-pyrazole-3-carboxamide (DB08137)","0.9139","http://www.drugbank.ca/drugs/DB08137"
"12","1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea (DB07360)","0.9135","http://www.drugbank.ca/drugs/DB07360"
"13","2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE (DB07460)","0.9127","http://www.drugbank.ca/drugs/DB07460"
"14","Rilpivirine (DB08864)","0.9116","http://www.drugbank.ca/drugs/DB08864"
"15","TMC278 (DB05083)","0.9116","http://www.drugbank.ca/drugs/DB05083"
"16","4-{[4-({4-[(E)-2-cyanoethenyl]-2,6-dimethylphenyl}amino)pyrimidin-2-yl]amino}benzonitrile (DB08592)","0.9116","http://www.drugbank.ca/drugs/DB08592"
"17","N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide (DB06940)","0.9115","http://www.drugbank.ca/drugs/DB06940"
"18","4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(4-Trifluoromethyl-Phenyl)-Amine (DB02915)","0.9114","http://www.drugbank.ca/drugs/DB02915"
"19","2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE (DB07268)","0.9106","http://www.drugbank.ca/drugs/DB07268"
"20","5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE (DB07280)","0.9067","http://www.drugbank.ca/drugs/DB07280"
"21","4-[[2-[[4-chloro-3-(trifluoromethyl)phenyl]amino]-3H-benzimidazol-5-yl]oxy]-N-methyl-pyridine-2-carboxamide (DB06938)","0.9061","http://www.drugbank.ca/drugs/DB06938"
"22","1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA (DB08043)","0.9058","http://www.drugbank.ca/drugs/DB08043"
"23","N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide (DB07288)","0.9013","http://www.drugbank.ca/drugs/DB07288"
"24","(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide (DB08564)","0.8971","http://www.drugbank.ca/drugs/DB08564"
"25","N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide (DB07665)","0.8957","http://www.drugbank.ca/drugs/DB07665"
