"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Afimoxifene (DB04468)","1.0000","http://www.drugbank.ca/drugs/DB04468"
"2","Tamoxifen (DB00675)","0.9982","http://www.drugbank.ca/drugs/DB00675"
"3","Toremifene (DB00539)","0.9976","http://www.drugbank.ca/drugs/DB00539"
"4","Ospemifene (DB04938)","0.9906","http://www.drugbank.ca/drugs/DB04938"
"5","Clomifene (DB00882)","0.9877","http://www.drugbank.ca/drugs/DB00882"
"6","Chlorotrianisene (DB00269)","0.9742","http://www.drugbank.ca/drugs/DB00269"
"7","(2z)-2-(Benzoylamino)-3-[4-(2-Bromophenoxy)Phenyl]-2-Propenoic Acid (DB01720)","0.9654","http://www.drugbank.ca/drugs/DB01720"
"8","(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE (DB07078)","0.9650","http://www.drugbank.ca/drugs/DB07078"
"9","1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE (DB08063)","0.9644","http://www.drugbank.ca/drugs/DB08063"
"10","{4-[(2R)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone (DB07237)","0.9617","http://www.drugbank.ca/drugs/DB07237"
"11","Prenylamine (DB04825)","0.9615","http://www.drugbank.ca/drugs/DB04825"
"12","[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid (DB02106)","0.9613","http://www.drugbank.ca/drugs/DB02106"
"13","131-I-TM-601 (DB05462)","0.9609","http://www.drugbank.ca/drugs/DB05462"
"14","2-[4-chloro-2-(phenylcarbonyl)phenoxy]-N-phenylacetamide (DB07826)","0.9592","http://www.drugbank.ca/drugs/DB07826"
"15","Raloxifene (DB00481)","0.9592","http://www.drugbank.ca/drugs/DB00481"
"16","GC-24 (DB03788)","0.9590","http://www.drugbank.ca/drugs/DB03788"
"17","Bentiromide (DB00522)","0.9576","http://www.drugbank.ca/drugs/DB00522"
"18","N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE (DB08610)","0.9574","http://www.drugbank.ca/drugs/DB08610"
"19","3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER (DB07639)","0.9571","http://www.drugbank.ca/drugs/DB07639"
"20","Compound 4-D (DB03742)","0.9569","http://www.drugbank.ca/drugs/DB03742"
"21","Butenafine (DB01091)","0.9569","http://www.drugbank.ca/drugs/DB01091"
"22","Dimetindene (DB08801)","0.9566","http://www.drugbank.ca/drugs/DB08801"
"23","2-Hydroxy-5-({1-[(2-Naphthyloxy)Methyl]-3-Oxoprop-1-Enyl}Amino)Tyrosine (DB02511)","0.9560","http://www.drugbank.ca/drugs/DB02511"
"24","N-(P-CYANOPHENYL)-N'-DIPHENYLMETHYL-GUANIDINE-ACETIC ACID (DB07816)","0.9557","http://www.drugbank.ca/drugs/DB07816"
"25","(5Z)-3-(4-CHLOROPHENYL)-4-HYDROXY-5-(1-NAPHTHYLMETHYLENE)FURAN-2(5H)-ONE (DB07296)","0.9549","http://www.drugbank.ca/drugs/DB07296"
"26","Coelenteramide (DB04049)","0.9549","http://www.drugbank.ca/drugs/DB04049"
"27","Br-Coeleneterazine (DB02006)","0.9542","http://www.drugbank.ca/drugs/DB02006"
"28","I-Coeleneterazine (DB04146)","0.9542","http://www.drugbank.ca/drugs/DB04146"
"29","[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester (DB01871)","0.9541","http://www.drugbank.ca/drugs/DB01871"
"30","3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione (DB01772)","0.9538","http://www.drugbank.ca/drugs/DB01772"
"31","(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL (DB07567)","0.9538","http://www.drugbank.ca/drugs/DB07567"
"32","Labetalol (DB00598)","0.9537","http://www.drugbank.ca/drugs/DB00598"
"33","ERA-923 (DB05414)","0.9534","http://www.drugbank.ca/drugs/DB05414"
"34","Compound 19 (DB02615)","0.9532","http://www.drugbank.ca/drugs/DB02615"
"35","Compound 18 (DB02715)","0.9532","http://www.drugbank.ca/drugs/DB02715"
"36","N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE (DB07991)","0.9530","http://www.drugbank.ca/drugs/DB07991"
"37","(2-Sulfanyl-3-Phenylpropanoyl)-Phe-Tyr (DB03949)","0.9528","http://www.drugbank.ca/drugs/DB03949"
"38","FAMOXADONE (DB07778)","0.9526","http://www.drugbank.ca/drugs/DB07778"
"39","(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone (DB03234)","0.9524","http://www.drugbank.ca/drugs/DB03234"
"40","Propafenone (DB01182)","0.9523","http://www.drugbank.ca/drugs/DB01182"
"41","Dapoxetine (DB04884)","0.9522","http://www.drugbank.ca/drugs/DB04884"
"42","4-[3-(dibenzylamino)phenyl]-2,4-dioxobutanoic acid (DB08147)","0.9522","http://www.drugbank.ca/drugs/DB08147"
"43","Bitolterol (DB00901)","0.9521","http://www.drugbank.ca/drugs/DB00901"
"44","FLUORESCIN (DB07764)","0.9521","http://www.drugbank.ca/drugs/DB07764"
"45","(4-BROMOPHENYL)[4-({(2E)-4-[CYCLOPROPYL(METHYL)AMINO]BUT-2-ENYL}OXY)PHENYL]METHANONE (DB08458)","0.9519","http://www.drugbank.ca/drugs/DB08458"
"46","8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One (DB02194)","0.9512","http://www.drugbank.ca/drugs/DB02194"
"47","Naftifine (DB00735)","0.9511","http://www.drugbank.ca/drugs/DB00735"
"48","5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine (DB07141)","0.9506","http://www.drugbank.ca/drugs/DB07141"
"49","1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)-Acetic Acid (DB03121)","0.9499","http://www.drugbank.ca/drugs/DB03121"
"50","8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One (DB02241)","0.9498","http://www.drugbank.ca/drugs/DB02241"
"51","5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine (DB07142)","0.9494","http://www.drugbank.ca/drugs/DB07142"
"52","RPR128515 (DB04424)","0.9488","http://www.drugbank.ca/drugs/DB04424"
"53","5-[(3S)-3-(2-methoxybiphenyl-4-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine (DB06847)","0.9487","http://www.drugbank.ca/drugs/DB06847"
"54","4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid (DB02936)","0.9482","http://www.drugbank.ca/drugs/DB02936"
"55","5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine (DB07140)","0.9481","http://www.drugbank.ca/drugs/DB07140"
"56","4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE (DB07459)","0.9480","http://www.drugbank.ca/drugs/DB07459"
"57","Balanol Analog 2 (DB01940)","0.9480","http://www.drugbank.ca/drugs/DB01940"
"58","5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine (DB07144)","0.9480","http://www.drugbank.ca/drugs/DB07144"
"59","6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02551)","0.9478","http://www.drugbank.ca/drugs/DB02551"
"60","Diphenylpyraline (DB01146)","0.9475","http://www.drugbank.ca/drugs/DB01146"
"61","Compound 9 (DB02014)","0.9467","http://www.drugbank.ca/drugs/DB02014"
"62","2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol (DB04471)","0.9462","http://www.drugbank.ca/drugs/DB04471"
"63","3-DIPHENOL-6-NITRO-3H-BENZO[DE]ISOCHROMEN-1-ONE (DB08204)","0.9462","http://www.drugbank.ca/drugs/DB08204"
"64","6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02473)","0.9461","http://www.drugbank.ca/drugs/DB02473"
"65","6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02705)","0.9459","http://www.drugbank.ca/drugs/DB02705"
