"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Vilazodone (DB06684)","0.9613","http://www.drugbank.ca/drugs/DB06684"
"2","Flunarizine (DB04841)","0.9577","http://www.drugbank.ca/drugs/DB04841"
"3","3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide (DB03534)","0.9520","http://www.drugbank.ca/drugs/DB03534"
"4","1-BENZYL-3-(4-METHOXYPHENYLAMINO)-4-PHENYLPYRROLE-2,5-DIONE (DB08063)","0.9508","http://www.drugbank.ca/drugs/DB08063"
"5","Flavoxate (DB01148)","0.9500","http://www.drugbank.ca/drugs/DB01148"
"6","Cinnarizine (DB00568)","0.9494","http://www.drugbank.ca/drugs/DB00568"
"7","3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE (DB08730)","0.9486","http://www.drugbank.ca/drugs/DB08730"
"8","Flurazepam (DB00690)","0.9484","http://www.drugbank.ca/drugs/DB00690"
"9","2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol (DB04471)","0.9484","http://www.drugbank.ca/drugs/DB04471"
"10","3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE (DB08091)","0.9479","http://www.drugbank.ca/drugs/DB08091"
"11","Meclizine (DB00737)","0.9463","http://www.drugbank.ca/drugs/DB00737"
"12","Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide (DB01820)","0.9458","http://www.drugbank.ca/drugs/DB01820"
"13","5-(5-chloro-2,4-dihydroxyphenyl)-N-ethyl-4-[4-(morpholin-4-ylmethyl)phenyl]isoxazole-3-carboxamide (DB06961)","0.9446","http://www.drugbank.ca/drugs/DB06961"
"14","Diltiazem (DB00343)","0.9441","http://www.drugbank.ca/drugs/DB00343"
"15","Bentiromide (DB00522)","0.9439","http://www.drugbank.ca/drugs/DB00522"
"16","N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine (DB04125)","0.9437","http://www.drugbank.ca/drugs/DB04125"
"17","Tolvaptan (DB06212)","0.9431","http://www.drugbank.ca/drugs/DB06212"
"18","4-[3-(dibenzylamino)phenyl]-2,4-dioxobutanoic acid (DB08147)","0.9426","http://www.drugbank.ca/drugs/DB08147"
"19","(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE (DB07113)","0.9423","http://www.drugbank.ca/drugs/DB07113"
"20","1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine (DB02177)","0.9391","http://www.drugbank.ca/drugs/DB02177"
"21","5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE (DB07586)","0.9391","http://www.drugbank.ca/drugs/DB07586"
"22","4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine (DB02491)","0.9391","http://www.drugbank.ca/drugs/DB02491"
"23","N-(P-CYANOPHENYL)-N'-DIPHENYLMETHYL-GUANIDINE-ACETIC ACID (DB07816)","0.9386","http://www.drugbank.ca/drugs/DB07816"
"24","N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide (DB08351)","0.9369","http://www.drugbank.ca/drugs/DB08351"
"25","4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide (DB08697)","0.9367","http://www.drugbank.ca/drugs/DB08697"
"26","(1S,5S,7R)-N~7~-(BIPHENYL-4-YLMETHYL)-N~3~-HYDROXY-6,8-DIOXA-3-AZABICYCLO[3.2.1]OCTANE-3,7-DICARBOXAMIDE (DB07026)","0.9366","http://www.drugbank.ca/drugs/DB07026"
"27","Br-Coeleneterazine (DB02006)","0.9365","http://www.drugbank.ca/drugs/DB02006"
"28","I-Coeleneterazine (DB04146)","0.9365","http://www.drugbank.ca/drugs/DB04146"
"29","Asimadoline (DB05104)","0.9364","http://www.drugbank.ca/drugs/DB05104"
"30","10-Propargyl-5,8-Dideazafolic Acid (DB03541)","0.9360","http://www.drugbank.ca/drugs/DB03541"
"31","Merimepodib (DB04862)","0.9354","http://www.drugbank.ca/drugs/DB04862"
"32","Cetirizine (DB00341)","0.9345","http://www.drugbank.ca/drugs/DB00341"
"33","CI-1033 (DB05424)","0.9342","http://www.drugbank.ca/drugs/DB05424"
"34","Bepridil (DB01244)","0.9338","http://www.drugbank.ca/drugs/DB01244"
"35","4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol (DB07601)","0.9334","http://www.drugbank.ca/drugs/DB07601"
"36","5-cyclopropyl-2-(4-fluorophenyl)-6-[(2-hydroxyethyl)(methylsulfonyl)amino]-N-methyl-1-benzofuran-3-carboxamide (DB07238)","0.9327","http://www.drugbank.ca/drugs/DB07238"
"37","6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02705)","0.9322","http://www.drugbank.ca/drugs/DB02705"
"38","6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02551)","0.9321","http://www.drugbank.ca/drugs/DB02551"
"39","5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide (DB03383)","0.9320","http://www.drugbank.ca/drugs/DB03383"
"40","1-{2-[3-(2-Chloro-4,5-difluoro-benzoyl)-ureido]-4-fluoro-phenyl}-piperidine-4-carboxylic acid (DB07396)","0.9314","http://www.drugbank.ca/drugs/DB07396"
"41","2-(2-{2-[(BIPHENYL-4-YLMETHYL)-AMINO]-3-MERCAPTO-PENTANOYLAMINO}-ACETYLAMINO)-3-METHYL-BUTYRIC ACID METHYL ESTER (DB08643)","0.9313","http://www.drugbank.ca/drugs/DB08643"
"42","6-ETHYL-5-[(2S)-1-(3-METHOXYPROPYL)-2-PHENYL-1,2,3,4-TETRAHYDROQUINOLIN-7-YL]PYRIMIDINE-2,4-DIAMINE (DB08099)","0.9312","http://www.drugbank.ca/drugs/DB08099"
"43","Ezetimibe (DB00973)","0.9309","http://www.drugbank.ca/drugs/DB00973"
