"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","Azelastine (DB00972)","0.9785","http://www.drugbank.ca/drugs/DB00972"
"2","5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide (DB03383)","0.9729","http://www.drugbank.ca/drugs/DB03383"
"3","RPR128515 (DB04424)","0.9714","http://www.drugbank.ca/drugs/DB04424"
"4","N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide (DB07811)","0.9689","http://www.drugbank.ca/drugs/DB07811"
"5","3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER (DB07639)","0.9688","http://www.drugbank.ca/drugs/DB07639"
"6","6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine (DB02705)","0.9687","http://www.drugbank.ca/drugs/DB02705"
"7","2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1R)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE (DB07981)","0.9681","http://www.drugbank.ca/drugs/DB07981"
"8","2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE (DB07984)","0.9681","http://www.drugbank.ca/drugs/DB07984"
"9","4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE (DB08672)","0.9671","http://www.drugbank.ca/drugs/DB08672"
"10","Valsartan (DB00177)","0.9669","http://www.drugbank.ca/drugs/DB00177"
"11","(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE (DB07145)","0.9660","http://www.drugbank.ca/drugs/DB07145"
