"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","(3R)-3-(aminomethyl)-9-methoxy-1,2,3,4-tetrahydro-5H-[1]benzothieno[3,2-e][1,4]diazepin-5-one (DB07431)","0.9680","http://www.drugbank.ca/drugs/DB07431"
"2","2-CHLORO-N-[(3R)-2-OXO-1,2,3,4-TETRAHYDROQUINOLIN-3-YL]-6H-THIENO[2,3-B]PYRROLE-5-CARBOXAMIDE (DB07066)","0.9550","http://www.drugbank.ca/drugs/DB07066"
"3","N,N-DIETHYL-2-[(2-THIENYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE (DB08032)","0.9530","http://www.drugbank.ca/drugs/DB08032"
"4","GLYCYLALANYL-N-2-NAPHTHYL-L-PROLINEAMIDE (DB07813)","0.9519","http://www.drugbank.ca/drugs/DB07813"
"5","1-[2-(S)-AMINO-3-BIPHENYL-4-YL-PROPIONYL]-PYRROLIDINE-2-(S)-CARBONITRILE (DB08024)","0.9510","http://www.drugbank.ca/drugs/DB08024"
"6","Diampromide (DB01502)","0.9479","http://www.drugbank.ca/drugs/DB01502"
"7","D-phenylalanyl-N-(3-fluorobenzyl)-L-prolinamide (DB07027)","0.9472","http://www.drugbank.ca/drugs/DB07027"
"8","2-[2-(4-CHLORO-PHENYLSULFANYL)-ACETYLAMINO]-3-(4-GUANIDINO-PHENYL)-PROPIONAMIDE (DB07105)","0.9452","http://www.drugbank.ca/drugs/DB07105"
"9","4-[(7R,7AS)-7-HYDROXY-1,3-DIOXOTETRAHYDRO-1H-PYRROLO[1,2-C]IMIDAZOL-2(3H)-YL]-1-NAPHTHONITRILE (DB08087)","0.9447","http://www.drugbank.ca/drugs/DB08087"
"10","N-benzyl-4-[(2R)-pyrrolidin-2-ylmethoxy]aniline (DB07260)","0.9444","http://www.drugbank.ca/drugs/DB07260"
"11","D-phenylalanyl-N-benzyl-L-prolinamide (DB07143)","0.9431","http://www.drugbank.ca/drugs/DB07143"
"12","N-({(2S)-1-[(3R)-3-AMINO-4-(2-FLUOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)BENZAMIDE (DB07779)","0.9430","http://www.drugbank.ca/drugs/DB07779"
"13","4-bromo-2-{[(2R)-2-(2-chlorobenzyl)pyrrolidin-1-yl]carbonyl}aniline (DB08580)","0.9422","http://www.drugbank.ca/drugs/DB08580"
"14","D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide (DB06919)","0.9403","http://www.drugbank.ca/drugs/DB06919"
"15","Fentanyl (DB00813)","0.9402","http://www.drugbank.ca/drugs/DB00813"
