"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","PUROMYCIN (DB08437)","0.9397","http://www.drugbank.ca/drugs/DB08437"
"2","2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine (DB04288)","0.9360","http://www.drugbank.ca/drugs/DB04288"
"3","6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE (DB08233)","0.9337","http://www.drugbank.ca/drugs/DB08233"
"4","3-({2-[(4-{[6-(CYCLOHEXYLMETHOXY)-9H-PURIN-2-YL]AMINO}PHENYL)SULFONYL]ETHYL}AMINO)PROPAN-1-OL (DB08309)","0.9317","http://www.drugbank.ca/drugs/DB08309"
"5","N~6~-cyclohexyl-N~2~-(4-morpholin-4-ylphenyl)-9H-purine-2,6-diamine (DB07340)","0.9314","http://www.drugbank.ca/drugs/DB07340"
"6","4-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)--BENZAMIDE (DB08241)","0.9291","http://www.drugbank.ca/drugs/DB08241"
"7","Purvalanol A (DB04751)","0.9281","http://www.drugbank.ca/drugs/DB04751"
"8","N-butyl-3-{[6-(9H-purin-6-ylamino)hexanoyl]amino}benzamide (DB07801)","0.9267","http://www.drugbank.ca/drugs/DB07801"
"9","Purvalanol (DB02733)","0.9262","http://www.drugbank.ca/drugs/DB02733"
"10","(2S)-2-({6-[(3-AMINO-5-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)-3-METHYLBUTAN-1-OL (DB07379)","0.9202","http://www.drugbank.ca/drugs/DB07379"
"11","OLOMOUCINE II (DB04662)","0.9180","http://www.drugbank.ca/drugs/DB04662"
"12","METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE (DB07689)","0.9124","http://www.drugbank.ca/drugs/DB07689"
"13","O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL (DB04770)","0.9121","http://www.drugbank.ca/drugs/DB04770"
