"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine (DB08700)","1.0000","http://www.drugbank.ca/drugs/DB08700"
"2","5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07643)","0.9638","http://www.drugbank.ca/drugs/DB07643"
"3","Azelastine (DB00972)","0.9629","http://www.drugbank.ca/drugs/DB00972"
"4","[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE (DB08423)","0.9589","http://www.drugbank.ca/drugs/DB08423"
"5","Rimonabant (DB06155)","0.9582","http://www.drugbank.ca/drugs/DB06155"
"6","1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid (DB02316)","0.9574","http://www.drugbank.ca/drugs/DB02316"
"7","Astemizole (DB00637)","0.9565","http://www.drugbank.ca/drugs/DB00637"
"8","2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol (DB07943)","0.9560","http://www.drugbank.ca/drugs/DB07943"
"9","2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1R)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE (DB07981)","0.9547","http://www.drugbank.ca/drugs/DB07981"
"10","2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE (DB07984)","0.9547","http://www.drugbank.ca/drugs/DB07984"
"11","5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07642)","0.9544","http://www.drugbank.ca/drugs/DB07642"
"12","3-(5-{[4-(AMINOMETHYL)PIPERIDIN-1-YL]METHYL}-1H-INDOL-2-YL)-1H-INDAZOLE-6-CARBONITRILE (DB07075)","0.9502","http://www.drugbank.ca/drugs/DB07075"
"13","N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide (DB07608)","0.9501","http://www.drugbank.ca/drugs/DB07608"
